Longitude,Latitude,LocationFactor,Land_SquareFeet,Land_PriorTaxYearMarketValueEstimate,Building_SquareFeet,Building_PriorTaxYearMarketValueEstimate,SalePrice
-88.1398590926126,42.1526846691863,2.22242452039837,6600,31350.0,2232.0,468500.0,575000.0
-88.137324747648,42.1526229326515,2.17588840394796,6534,31030.0,2092.0,387860.0,550000.0
-88.1406748720789,42.1521422567435,2.22830754909464,8712,41380.0,2244.0,460860.0,575000.0
-88.1352202039198,42.1520240305595,2.12868606780209,8747,41540.0,3965.0,736700.0,1150000.0
-88.1339977194644,42.1521928328772,2.10964150140205,8712,41380.0,2725.0,407120.0,455000.0
-88.1401856904702,42.1503295096986,2.19052682948284,8448,40120.0,1316.0,320660.0,885000.0
-88.1385212956473,42.1503461003367,2.16102989130516,7846,37260.0,2253.0,384590.0,690000.0
-88.1371235265617,42.1503601897763,2.13632372588822,5742,27270.0,1636.0,325660.0,439000.0
-88.1375919609037,42.1494683920563,2.13076289207591,10494,49840.0,1716.0,356060.0,280000.0
-88.1380624367299,42.1471804993249,2.10412883679693,11827,56170.0,1471.0,253450.0,450000.0
-88.1371139404813,42.1472130928939,2.08789759770153,11310,53720.0,1878.0,377150.0,405000.0
-88.1339467052702,42.1503701362495,2.08016528509297,5940,28210.0,2063.0,447650.0,625000.0
-88.1340352176119,42.1473450259383,2.03591731518148,6943,32970.0,1084.0,205850.0,390500.0
-88.1318289279135,42.1502562209643,2.04126349274845,6600,31350.0,1639.0,309550.0,365000.0
-88.1267247053359,42.1539786796984,2.00999163484838,7294,34640.0,1524.0,358100.0,305000.0
-88.1255115595245,42.151607492654,1.9523249918974,8100,38470.0,1595.0,306720.0,182500.0
-88.1247660427755,42.1519295548733,1.94437849820002,8523,40480.0,1092.0,237950.0,215000.0
-88.1242808729523,42.1508969564628,1.92055843474036,8505,40390.0,2260.0,384200.0,418000.0
-88.1300239792336,42.1498776721218,2.00410621433343,9950,47260.0,1719.0,467330.0,453000.0
-88.1291827070555,42.1503423969548,1.99655335436259,6969,33100.0,3445.0,787810.0,355000.0
-88.1286626823208,42.1503419524233,1.98754893212666,6534,31030.0,2842.0,535910.0,655000.0
-88.1299984568097,42.1476137221076,1.97008320826873,9550,45360.0,1730.0,331640.0,425000.0
-88.1286561515343,42.1480688425805,1.95371625821364,8250,39180.0,3407.0,636770.0,1175000.0
-88.1380359545216,42.1460854674101,2.08728786496342,8712,41380.0,1241.0,215560.0,345000.0
-88.1340368590994,42.1448654646008,1.99985742750456,10116,48050.0,1644.0,274550.0,314000.0
-88.1317435278259,42.1455929121009,1.97084860703378,11100,52720.0,1039.0,209080.0,268000.0
-88.1355983026988,42.1436543158456,2.00959209107362,10620,50440.0,1170.0,229880.0,275000.0
-88.1356143499751,42.1412359366024,1.97626110263883,12765,60630.0,1541.0,381360.0,185000.0
-88.1405264466293,42.1445366844849,2.10815008658746,11040,52440.0,1886.0,358340.0,416000.0
-88.1405294179861,42.1439662735301,2.09984342706034,11040,52440.0,1572.0,265930.0,280000.0
-88.1405321306983,42.1433993605431,2.09164859691389,11040,52440.0,1128.0,236430.0,320000.0
-88.1396921408545,42.1436935659715,2.08123469009526,12160,57760.0,2035.0,412130.0,450000.0
-88.1377526186047,42.1440148903145,2.05207122859303,12002,57000.0,1449.0,261660.0,350000.0
-88.1365889770429,42.1453791517882,2.05155741926745,13400,63650.0,1577.0,316870.0,191000.0
-88.128966974762,42.1464062975263,1.93506893791744,6671,31680.0,1681.0,346440.0,500000.0
-88.1296253968654,42.1444175279529,1.91830401517138,6250,29680.0,2940.0,542430.0,575000.0
-88.1291054592288,42.1449564698295,1.91700493700639,6250,29680.0,1427.0,252900.0,810000.0
-88.1278932153565,42.145360023922,1.90216773263175,6250,29680.0,2692.0,575090.0,566500.0
-88.1310143516411,42.1437987261918,1.93323350224378,13400,63650.0,3374.0,535250.0,382250.0
-88.1308392098354,42.1406792462796,1.88819100147012,17670,48590.0,1855.0,317290.0,355000.0
-88.14211538745,42.1526872836211,2.26310897084333,8712,41380.0,1624.0,326680.0,360000.0
-88.141332826104,42.1505996849059,2.21536333765803,17158,81500.0,3042.0,650320.0,385000.0
-88.1580905435164,42.1418124676933,2.36989287722594,217800,163350.0,2865.0,428030.0,600000.0
-88.1470053760732,42.1441676096596,2.21639981689476,19100,90720.0,1829.0,424060.0,675000.0
-88.1448963790145,42.1441315098999,2.17890574204801,18285,86850.0,2724.0,465680.0,965000.0
-88.144910656284,42.143039212587,2.16292522364585,18745,89030.0,3509.0,562790.0,655000.0
-88.1439401230539,42.1424936757934,2.13798532904084,28625,135960.0,2800.0,434450.0,57000.0
-88.1435437454842,42.1434363820124,2.14488390887366,21070,100080.0,2607.0,428190.0,840000.0
-88.1413588760265,42.1440397339939,2.11545814371638,15320,72770.0,2236.0,339200.0,461000.0
-88.1680372465297,42.1465055088386,2.60779155885675,219978,164980.0,9668.0,2076780.0,2600000.0
-88.1673344838315,42.1520182607044,2.69011896110072,212137,159100.0,10557.0,1860140.0,2250000.0
-88.1763813603514,42.1414570233441,2.64914591143735,219107,164330.0,3807.0,834250.0,975000.0
-88.1974879760089,42.1497490766675,3.06975448668514,217800,163350.0,3894.0,623040.0,606250.0
-88.196364654765,42.1497720495018,3.05727828497047,217800,163350.0,3000.0,505950.0,807250.0
-88.2339505394275,42.1489655098008,3.3429815351225,219011,164250.0,3900.0,500750.0,525000.0
-88.2350368990068,42.1475982924173,3.31943675151699,333670,250250.0,3206.0,669740.0,385000.0
-88.2257339275541,42.1273070413703,2.86130932789605,184520,138390.0,8757.0,1556200.0,1400000.0
-88.1675530346572,42.1269729935202,2.2858708820511,219107,164330.0,7532.0,1504460.0,1525000.0
-88.1465054244217,42.129697546113,2.00401086492304,232610,174450.0,3809.0,673780.0,627500.0
-88.1588286867247,42.1310650769078,2.21846072402263,192971,144720.0,5930.0,1202870.0,1900000.0
-88.13565708805,42.1379656922352,1.93326847785682,20355,55970.0,1480.0,242390.0,247000.0
-88.1332541476982,42.1339104853086,1.84231644938048,6333,17410.0,2846.0,481590.0,530000.0
-88.1285960917281,42.1323926030651,1.74984505306566,7920,53460.0,1615.0,287310.0,427000.0
-88.1288127234776,42.1323859131153,1.7531750663469,7920,53460.0,1529.0,273670.0,412000.0
-88.1281023934905,42.1351351552111,1.77397361691062,6382,43070.0,1615.0,287470.0,455000.0
-88.1274453431892,42.133250099454,1.74158403241699,8122,54820.0,1615.0,298900.0,415000.0
-88.1275942576118,42.1341434356696,1.75423534579685,7893,53270.0,1529.0,282420.0,424000.0
-88.1272627689453,42.1344634657857,1.75273097690064,13456,90820.0,2604.0,381570.0,339000.0
-88.1276877686809,42.1344607034715,1.75941978002711,5993,40450.0,2604.0,378290.0,480000.0
-88.1366520260799,42.1251437531598,1.7926421376266,2894,7950.0,2786.0,442330.0,505000.0
-88.1338268622834,42.1254028320248,1.75247778221661,3689,10140.0,3040.0,437700.0,547000.0
-88.1364503742178,42.1259899607139,1.79933105582474,3685,10130.0,2382.0,376950.0,510000.0
-88.1343030363753,42.1272735356092,1.78090057985843,2839,7800.0,2382.0,379280.0,396000.0
-88.1357623454646,42.1259685806891,1.78849020008467,2893,7950.0,2684.0,432910.0,590000.0
-88.1351548445238,42.1257163858067,1.77628126765219,2846,7820.0,2786.0,442460.0,520000.0
-88.1355743754636,42.1264027421887,1.79058473121789,2857,7850.0,2789.0,442910.0,545000.0
-88.1279813561476,42.1282066642393,1.69419930732993,40819,112250.0,3630.0,659570.0,700000.0
-88.1299458867869,42.1261671059325,1.70207776628122,47959,131880.0,4046.0,742160.0,845000.0
-88.1327593941263,42.1236415535973,1.71702978974323,40332,110910.0,3992.0,528940.0,767500.0
-88.131815976889,42.1222763720905,1.68845986252438,49832,137030.0,6500.0,1373100.0,1150000.0
-88.1355435685774,42.1219314339804,1.73955831520129,60753,167070.0,6232.0,907380.0,950000.0
-88.1245280655676,42.1194834198286,1.55744569226888,40510,81020.0,3297.0,49910.0,755000.0
-88.1283742298605,42.121093920325,1.62661530359783,72813,200230.0,4057.0,719710.0,850000.0
