,Longitude,Latitude,SalePrice,total_tax,annual_insurance,annual_maintenance
0,-88.1398590926126,42.1526846691863,575000.0,6900.152424520399,3072.046129196985,14377.222424520398
1,-88.137324747648,42.1526229326515,550000.0,5782.857888403948,2938.4789061884203,13752.175888403948
2,-88.1406748720789,42.1521422567435,575000.0,6933.140307549095,3072.046129196985,14377.228307549094
3,-88.1352202039198,42.1520240305595,1150000.0,10741.840686067802,6144.09225839397,28752.1286860678
4,-88.1339977194644,42.1521928328772,455000.0,6191.409641501402,2430.923458755875,11377.109641501402
5,-88.1401856904702,42.1503295096986,885000.0,4980.954526829483,4728.279694503185,22127.190526829483
6,-88.1385212956473,42.1503461003367,690000.0,5823.691029891305,3686.455355036382,17252.161029891304
7,-88.1371235265617,42.1503601897763,439000.0,4872.570323725889,2345.440436030394,10977.136323725888
8,-88.1375919609037,42.1494683920563,280000.0,5603.550762892076,1495.9528976959232,7002.130762892076
9,-88.1380624367299,42.1471804993249,450000.0,4274.860128836797,2404.2100141541623,11252.104128836798
10,-88.1371139404813,42.1472130928939,405000.0,5948.0938975977015,2163.789012738746,10127.087897597701
11,-88.1339467052702,42.1503701362495,625000.0,6568.948165285093,3339.180575214114,15627.080165285093
12,-88.1340352176119,42.1473450259383,390500.0,3297.7519173151813,2086.3200233937787,9764.535917315181
13,-88.1318289279135,42.1502562209643,365000.0,4706.461263492749,1950.0814559250425,9127.041263492749
14,-88.1267247053359,42.1539786796984,305000.0,5421.821991634848,1629.5201207044877,7627.009991634848
15,-88.1255115595245,42.151607492654,182500.0,4765.574324991898,975.0407279625213,4564.4523249918975
16,-88.1247660427755,42.1519295548733,215000.0,3844.2783784982,1148.6781178736553,5376.9443784982
17,-88.1242808729523,42.1508969564628,418000.0,5861.26255843474,2233.2439687031997,10451.92055843474
18,-88.1300239792336,42.1498776721218,453000.0,7103.346106214333,2420.23808091519,11327.004106214334
19,-88.1291827070555,42.1503423969548,355000.0,11330.55455335436,1896.6545667216167,8876.996553354362
20,-88.1286626823208,42.1503419524233,655000.0,7825.759548932127,3499.4612428243913,16376.987548932128
21,-88.1299984568097,42.1476137221076,425000.0,5204.570083208269,2270.6427911455976,10626.970083208269
22,-88.1286561515343,42.1480688425805,1175000.0,9330.063716258213,6277.659481402535,29376.953716258213
