,Latitude,Longitude,SalePrice,rentZestimate
0,41.949432,-87.652336,225000.0,1999.0
1,41.88579,-87.63036,399000.0,2762.5
2,41.902073,-87.63038,450000.0,2472.0
3,41.94554,-87.65599,439000.0,3542.5
4,41.88094,-87.64239,250000.0,2764.0
5,41.86853,-87.62471,449000.0,2021.5
6,41.83598,-87.6174,359500.0,2093.5
7,42.00672,-87.67815,239900.0,1394.0
8,41.86479,-87.62525,399925.0,2021.5
9,41.87182,-87.63264,220000.0,2438.5
10,41.975636,-87.6628,484900.0,1617.0
11,41.88198,-87.76356,274777.0,1339.0
12,41.764515,-87.58206,289999.0,893.0
13,41.767017,-87.57421,329900.0,924.0
14,41.747253,-87.60297,199999.0,1082.0
15,41.765102,-87.56609,395000.0,908.5
16,41.689266,-87.61843,534900.0,1082.0
17,41.744637,-87.60068,270000.0,864.0
18,41.928158,-87.640305,259000.0,4259.0
19,41.939266,-87.65687,499000.0,2340.0
20,41.94041,-87.64067,550000.0,2083.5
21,41.936817,-87.64245,425000.0,2083.5
22,41.95424,-87.649254,525000.0,1019.5
23,41.922264,-87.63871,450000.0,1548.0
24,41.84166,-87.638695,625000.0,1893.0
25,41.94496,-87.67214,525000.0,1933.0
26,42.01183,-87.68101,675000.0,1348.5
27,41.89007,-87.63765,540000.0,2762.5
28,41.894627,-87.63049,365000.0,2905.5
29,41.970592,-87.70403,550000.0,1679.5
30,41.97204,-87.68816,324000.0,1649.0
31,41.95376,-87.7364,719900.0,1237.5
32,41.891136,-87.64022,429900.0,2352.0
33,42.004204,-87.67131,495000.0,1407.0
34,41.93586,-87.64153,430000.0,2083.5
35,41.973682,-87.654526,435000.0,1908.0
36,41.97419,-87.676765,175000.0,1221.5
37,41.798492,-87.8686,325000.0,2669.0
38,41.944214,-87.66966,274000.0,1841.0
39,41.942577,-87.64205,849900.0,2083.5
40,42.041073,-87.682755,225000.0,1326.5
41,41.974777,-87.65536,209000.0,1908.0
42,41.9415,-87.64075,269000.0,2083.5
43,41.883633,-87.64377,279900.0,2764.0
44,41.965366,-87.675705,205000.0,1632.0
45,41.951576,-87.66935,340000.0,1890.0
46,41.83492,-87.6139,415000.0,2093.5
47,41.942017,-87.64,799000.0,2083.5
48,41.936287,-87.63982,300000.0,2083.5
49,41.893204,-87.61872,25000.0,6728.5
50,42.1061,-87.92456,775000.0,1722.5
51,41.886715,-87.80419,210000.0,1519.5
52,42.08413,-87.98065,299900.0,1558.5
53,41.889503,-87.61833,625000.0,5900.0
54,41.89636,-87.62667,215000.0,6728.5
55,41.888706,-87.646645,374900.0,2764.0
56,41.882763,-87.65119,440000.0,2764.0
57,41.89904,-87.62796,349000.0,2401.0
58,41.883717,-87.62866,348000.0,2485.5
59,42.04709,-87.67986,212500.0,1326.5
60,41.98398,-87.65564,579000.0,921.0
61,41.876324,-87.64394,189900.0,2764.0
62,41.951508,-87.66935,350000.0,1882.0
63,41.88227,-87.65124,279900.0,2764.0
64,41.87487,-87.65145,485000.0,2764.0
65,42.048096,-87.9763,419900.0,1665.5
66,41.892357,-87.71291,39900.0,1315.5
67,41.92546,-87.70305,325000.0,1745.5
68,41.857033,-87.62768,624900.0,2021.5
69,41.77408,-87.7956,219000.0,997.0
70,41.897503,-87.70008,324900.0,1549.5
71,41.972733,-87.67737,250000.0,1221.5
72,41.92238,-87.65688,449000.0,1573.0
73,42.019417,-87.66656,130000.0,1426.5
74,41.79505,-87.585236,579000.0,2246.0
75,41.94232,-87.65573,284900.0,1794.0
76,41.9004,-87.66505,2950000.0,2246.5
77,41.921368,-87.67117,265000.0,1707.5
78,41.894794,-87.633705,249888.0,2762.5
79,41.88765,-87.80356,205000.0,1519.5
80,42.042427,-87.97369,300000.0,1967.0
81,41.922794,-87.652565,249900.0,2550.5
82,41.97821,-87.84496,850000.0,1663.5
83,41.857243,-87.66024,319900.0,1576.5
84,41.96067,-87.66878,185000.0,2497.0
85,41.592083,-87.731094,675000.0,2104.0
86,41.882458,-87.65022,499000.0,2400.0
87,41.90402,-87.6413,390000.0,5502.0
88,41.90477,-87.679375,220000.0,2419.0
89,41.917862,-87.68438,535000.0,1556.0
90,41.91565,-87.65293,264900.0,1915.0
91,41.904537,-87.69263,325900.0,1731.0
92,41.902985,-87.6256,375900.0,2401.0
93,41.92378,-87.911446,539000.0,1099.0
94,41.936375,-87.64038,360000.0,2083.5
95,42.058475,-87.9278,1415000.0,1150.0
96,41.777782,-87.6864,699000.0,1100.0
97,42.12282,-88.03499,1495000.0,1665.5
98,41.95853,-87.70118,274900.0,1524.5
99,41.751904,-87.608025,189900.0,1300.0
100,41.880398,-87.90229,369000.0,1149.0
101,41.99747,-87.66143,530000.0,2228.0
102,41.911446,-87.6413,469000.0,2849.5
103,41.95452,-87.6752,3125000.0,2727.0
104,41.896202,-87.67619,209999.0,2100.0
105,41.89695,-87.685265,285000.0,1650.0
106,41.94122,-87.65215,299000.0,2528.0
107,41.89901,-87.61994,529000.0,6728.5
108,41.861717,-87.620285,125000.0,2294.0
109,41.897564,-87.69765,99500.0,1350.0
110,41.96324,-87.6515,135000.0,1019.5
111,41.861725,-87.62029,425000.0,2021.5
112,42.046818,-87.68452,119900.0,1326.5
113,42.08861,-87.99517,285000.0,1558.5
114,41.90927,-87.68879,279000.0,1731.0
115,42.048702,-87.682625,374999.0,1350.0
116,41.922688,-87.64902,599900.0,3528.0
117,41.922726,-87.655075,107000.0,1699.0
118,41.95942,-87.836655,214000.0,1522.0
119,41.944332,-87.68127,435000.0,1834.0
120,41.98484,-87.67212,950000.0,1256.0
121,41.948074,-87.759224,324000.0,1163.5
122,41.904675,-87.681915,315000.0,1795.0
123,41.927223,-87.69958,175000.0,1991.0
124,41.95719,-87.78725,269000.0,1900.0
125,41.938297,-87.63989,175000.0,2788.0
126,41.854652,-87.75209,329900.0,1415.5
127,41.90901,-87.7232,295000.0,1329.5
128,42.05256,-88.083015,299900.0,1726.0
129,41.887177,-87.709946,167000.0,1315.5
130,41.953075,-87.667015,249999.0,1532.0
131,41.9559,-87.64859,205000.0,1019.5
132,42.038597,-87.89266,254900.0,1722.5
133,41.878937,-87.64419,139896.0,3128.0
134,41.89552,-87.685036,79000.0,1800.0
135,41.96388,-87.661964,83500.0,2348.0
136,41.898296,-87.67743,239000.0,1597.0
137,41.901043,-87.67751,129900.0,1649.0
138,41.88166,-87.650856,68900.0,2764.0
139,41.88541,-87.62666,475000.0,3171.0
140,41.89076,-87.63626,249900.0,2354.0
141,41.89799,-87.629845,255000.0,2401.0
142,41.885376,-87.64472,435000.0,2764.0
143,41.884716,-87.616516,164900.0,5900.0
144,41.945087,-87.65633,185000.0,3386.0
145,41.88652,-87.62102,135000.0,1800.0
146,41.817776,-87.62341,784900.0,1596.5
147,41.753334,-87.58447,264900.0,849.0
148,41.87877,-87.83537,215900.0,1779.5
149,41.711254,-87.53804,209900.0,1750.0
150,41.7511,-87.59637,230000.0,900.0
151,41.7511,-87.596275,135000.0,852.5
152,41.751095,-87.59625,359000.0,805.0
153,41.746876,-87.56043,299900.0,999.0
154,41.910313,-87.75303,119900.0,1128.0
155,41.726933,-87.6576,82000.0,1649.5
156,41.928226,-87.75665,390000.0,1014.0
157,41.75097,-87.5586,265000.0,1649.5
158,41.76365,-87.59092,625000.0,849.0
159,41.742588,-87.54578,359000.0,2300.0
160,41.757454,-87.564255,325000.0,961.5
161,41.887398,-87.72213,255000.0,1315.5
162,41.908024,-87.62639,299900.0,2472.0
163,41.939865,-87.67405,255000.0,2712.0
164,41.949333,-87.66559,164900.0,1977.0
165,41.940376,-87.67271,219999.0,2299.0
166,41.972515,-87.69125,185000.0,1480.5
167,41.93006,-87.710724,369888.0,1194.0
168,41.924057,-87.63992,125000.0,2903.5
169,41.91506,-87.67112,625000.0,1590.0
170,41.95297,-87.65336,625000.0,1974.5
171,41.911533,-87.641304,530000.0,2100.0
172,41.94668,-87.673,230000.0,1749.0
173,41.899853,-87.67394,351000.0,1350.0
174,41.815197,-87.61522,215000.0,1819.5
175,41.77413,-87.59607,279900.0,1984.0
176,41.85735,-87.68106,319999.0,1294.5
177,41.92226,-87.64479,610000.0,1694.0
178,41.99618,-87.827934,650000.0,1663.5
179,41.963818,-87.681114,495000.0,1665.5
180,41.905964,-87.69285,185000.0,1749.0
181,41.94848,-87.66369,725000.0,3060.5
182,41.94455,-87.745094,299900.0,828.0
183,41.95427,-87.749084,450000.0,1309.5
184,41.95429,-87.74954,269000.0,1309.5
185,41.99315,-87.658295,449900.0,921.0
186,41.91794,-87.678055,449000.0,1494.5
187,41.88086,-87.79657,1000000.0,1550.0
188,41.961536,-87.69417,449900.0,1256.0
189,41.961494,-87.70355,293000.0,1679.5
190,41.940296,-87.7787,749900.0,1144.0
191,41.86906,-87.66442,480000.0,1576.5
192,41.858025,-87.65871,439000.0,1576.5
193,41.895996,-87.68889,69000.0,1500.0
194,41.94555,-87.65913,700000.0,3699.0
195,41.920918,-87.65866,114999.0,1825.0
196,41.93334,-87.6501,700000.0,3055.0
197,41.969803,-87.69477,480000.0,1312.0
198,41.941334,-87.646935,300000.0,1255.5
199,41.949306,-87.68329,525000.0,1765.5
200,41.99431,-87.6882,329000.0,1133.0
201,41.968334,-87.70384,575000.0,1510.0
202,41.968517,-87.700356,250000.0,1679.5
203,41.968693,-87.711716,398000.0,1325.0
204,41.994263,-87.68773,399000.0,1133.0
205,41.754963,-87.61287,299000.0,1999.0
206,41.9515,-87.649315,265000.0,1547.0
207,41.877636,-87.658134,2375000.0,2764.0
208,42.04076,-87.68309,249900.0,1326.5
209,41.87801,-87.65843,149900.0,2764.0
210,42.054253,-87.68321,150000.0,1326.5
211,41.930496,-87.64407,60000.0,3120.0
212,41.909424,-87.6363,299900.0,3599.0
213,42.00586,-87.66073,289900.0,1824.0
214,41.89924,-87.62909,157500.0,2401.0
215,41.887714,-87.79675,50000.0,1691.0
216,41.88763,-87.798134,199000.0,1691.0
217,42.03718,-88.16357,575000.0,1485.0
218,41.903027,-87.63482,348500.0,3423.5
219,41.947033,-87.654686,225000.0,2668.0
220,41.972557,-87.67892,30000.0,1194.0
221,41.885185,-87.66454,275000.0,2246.5
222,41.876347,-87.65366,235000.0,2764.0
223,41.95764,-87.64949,300000.0,1019.5
224,41.8951,-87.6341,260000.0,3928.0
225,41.89508,-87.63379,279900.0,3928.0
226,41.91336,-87.686905,299500.0,1556.0
227,41.90656,-87.62606,144900.0,2472.0
228,41.794918,-87.58351,550000.0,2246.0
229,42.02904,-88.05892,1625000.0,1665.5
230,41.832844,-87.60949,344900.0,2093.5
231,41.90541,-87.63408,225000.0,2472.0
232,41.923492,-87.67748,135000.0,1494.5
233,41.742584,-87.60221,260000.0,882.0
234,42.014637,-87.669075,228000.0,1472.0
235,41.791336,-87.59062,369500.0,3075.0
236,41.95071,-87.65406,149900.0,1974.5
237,42.104004,-87.907684,324900.0,1722.5
238,41.885624,-87.7989,649900.0,1832.0
239,42.128277,-87.909065,1399000.0,2897.0
240,41.79999,-87.59663,249999.0,2339.0
241,41.584503,-87.79235,354900.0,2195.0
242,41.9074,-87.63803,88900.0,4550.5
243,42.119743,-87.98918,259990.0,1558.5
244,41.88603,-87.633575,230000.0,2762.5
245,41.872547,-87.62837,398900.0,2460.0
246,41.90886,-87.65068,208000.0,2522.5
247,41.865047,-87.624596,329000.0,2021.5
248,41.75328,-87.563484,329900.0,961.5
249,41.93742,-87.640564,194900.0,2083.5
250,41.90419,-87.633,298800.0,2472.0
251,41.889046,-87.63364,319500.0,2762.5
252,41.88286,-87.63424,274900.0,2762.5
253,41.81103,-87.64037,187400.0,1300.0
254,41.902065,-87.63331,529000.0,2472.0
255,41.899426,-87.64519,219900.0,2350.0
256,42.023865,-88.1141,331441.0,1424.5
257,41.82698,-87.80238,1799000.0,999.0
258,41.95199,-87.67905,159900.0,1697.0
259,41.925873,-87.649925,439000.0,2611.0
260,41.951393,-87.663864,260000.0,2422.0
261,41.940517,-87.65158,75000.0,2069.0
262,41.904488,-87.66783,375000.0,1852.5
263,41.75353,-87.58478,265000.0,849.0
264,41.857983,-87.6718,299900.0,1800.0
265,41.897957,-87.61991,259000.0,6728.5
266,41.984314,-87.65563,189900.0,921.0
267,42.087826,-87.98902,399900.0,1558.5
268,41.885654,-87.80596,337900.0,1207.0
269,41.88608,-87.634224,425000.0,2762.5
270,41.88182,-87.65703,375000.0,2764.0
271,41.95812,-87.65085,369000.0,944.0
272,41.796227,-87.5815,289900.0,1845.5
273,41.94598,-87.64353,329000.0,1113.5
274,41.93967,-87.63999,169900.0,2083.5
275,41.89897,-87.6273,351000.0,2401.0
276,42.03758,-87.747536,265000.0,1299.5
277,41.81409,-87.62021,154900.0,1819.5
278,41.943657,-87.643394,339900.0,1255.5
279,41.75006,-87.62409,375000.0,1649.5
280,41.892284,-87.616295,250000.0,6728.5
281,41.887234,-87.61864,264900.0,5900.0
282,41.88781,-87.62062,349700.0,10000.0
283,41.938416,-87.63866,239000.0,2083.5
284,41.80082,-87.58635,369200.0,1417.0
285,41.80075,-87.590996,309900.0,1845.5
286,41.889164,-87.79962,168000.0,1519.5
287,41.6962,-87.6119,374900.0,1082.0
288,41.94506,-87.64229,334900.0,1255.5
289,41.84456,-87.64192,799000.0,1999.0
290,41.946796,-87.6631,724900.0,3060.5
291,41.935177,-87.64994,304900.0,3200.0
292,41.968243,-87.704575,175000.0,1679.5
293,41.87116,-87.62474,349900.0,2021.5
294,41.907097,-87.72557,365000.0,1329.5
295,42.152157,-87.86618,250000.0,2897.0
296,41.895443,-87.65258,230000.0,2536.5
297,41.792698,-87.58344,251750.0,2246.0
298,41.91752,-87.635796,299900.0,2573.5
299,41.88721,-87.64003,269900.0,2741.0
300,42.02422,-87.75136,279900.0,1249.0
301,41.968002,-87.6508,243900.0,1571.5
302,41.90382,-87.629196,264900.0,2472.0
303,41.8543,-87.625,349900.0,2021.5
304,41.73318,-87.55508,100000.0,1200.0
305,41.984272,-87.669304,349900.0,1562.0
306,41.892735,-87.66462,254900.0,2246.5
307,42.06807,-88.05549,189900.0,1665.5
308,41.934605,-87.64518,277000.0,2249.5
309,41.88538,-87.6344,365000.0,2762.5
310,42.03617,-87.76471,2500000.0,1474.0
311,41.745064,-87.60188,299099.0,882.0
312,41.933018,-87.640396,300000.0,3689.5
313,41.943207,-87.720314,125000.0,1652.0
314,41.88308,-87.65274,340000.0,2764.0
315,41.944004,-87.648636,275000.0,1132.0
316,41.793407,-87.58598,32500.0,2246.0
317,41.87941,-87.664604,299000.0,2085.0
318,41.953285,-87.65578,325000.0,1974.5
319,41.853313,-87.67388,199900.0,1353.0
320,41.881313,-87.65904,309000.0,2085.0
321,41.943146,-87.66963,319000.0,2116.0
322,41.942616,-87.756996,149900.0,900.0
323,41.991253,-87.65788,342500.0,921.0
324,41.903942,-87.71155,164000.0,1390.5
325,41.92736,-87.64197,80000.0,3689.5
326,41.853783,-87.62338,245000.0,2021.5
327,41.939774,-87.642494,265000.0,2083.5
328,41.961716,-87.65896,210000.0,1571.5
329,41.8509,-87.7068,349000.0,1275.0
330,41.89703,-87.69028,125000.0,1650.0
331,41.913208,-87.70266,220000.0,1849.5
332,41.89485,-87.65967,171900.0,2723.0
333,41.947483,-87.670944,250000.0,1841.0
334,41.962894,-87.718765,168000.0,1099.0
335,42.13787,-88.04689,175000.0,1665.5
336,41.945328,-87.82741,265000.0,1933.5
337,41.954113,-87.66602,190000.0,1977.0
338,41.926582,-87.667854,299000.0,1699.0
339,41.85538,-87.68117,265000.0,1236.0
340,41.95449,-87.69913,295000.0,1200.0
341,41.973534,-87.67675,235000.0,1221.5
342,41.889038,-87.90883,186000.0,1124.0
343,41.9688,-87.66398,229000.0,2199.0
344,41.95055,-87.6501,339000.0,1547.0
345,41.998703,-87.65988,189000.0,1824.0
346,41.89433,-87.64911,179900.0,2536.5
347,42.008057,-87.66929,189900.0,1407.0
348,42.144726,-87.95725,349000.0,1722.5
349,41.90092,-87.62738,219000.0,2401.0
