TownCode,LocationFactor,Land_SquareFeet,Land_PriorTaxYearMarketValueEstimate,Building_SquareFeet,Building_PriorTaxYearMarketValueEstimate,SalePrice,Age,WallMaterial,RoofMaterial,Rooms,Bedrooms,FullBaths,Basement,BasementFinish,CentralHeating,CentralAir,AtticType,HalfBaths,Garage1Size,Garage1Material,Garage1Attachment,Garage1Area,Porch
10,2.08123469009526,12160,57760.0,2035.0,412130.0,450000.0,56,1.0,1.0,7.0,4.0,2.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,3
10,2.05207122859303,12002,57000.0,1449.0,261660.0,350000.0,55,3.0,1.0,6.0,3.0,1.0,3.0,3.0,1.0,0.0,3.0,0.0,3.0,3.0,1.0,1.0,3
10,2.05155741926745,13400,63650.0,1577.0,316870.0,191000.0,67,3.0,1.0,7.0,4.0,1.0,4.0,3.0,1.0,0.0,3.0,1.0,1.0,3.0,1.0,1.0,1
10,1.93506893791744,6671,31680.0,1681.0,346440.0,500000.0,64,1.0,1.0,7.0,4.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,3
10,1.91830401517138,6250,29680.0,2940.0,542430.0,575000.0,15,1.0,1.0,8.0,4.0,3.0,1.0,3.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,2.0,3
10,1.91700493700639,6250,29680.0,1427.0,252900.0,810000.0,69,1.0,1.0,6.0,3.0,1.0,3.0,3.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,3
10,1.90216773263175,6250,29680.0,2692.0,575090.0,566500.0,16,1.0,1.0,8.0,4.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,3.0,1.0,1.0,3
10,1.93323350224378,13400,63650.0,3374.0,535250.0,382250.0,58,1.0,1.0,8.0,4.0,2.0,1.0,3.0,2.0,1.0,3.0,1.0,3.0,1.0,1.0,2.0,3
10,1.88819100147012,17670,48590.0,1855.0,317290.0,355000.0,51,2.0,1.0,7.0,3.0,3.0,1.0,1.0,2.0,1.0,3.0,0.0,3.0,2.0,1.0,2.0,3
10,2.26310897084333,8712,41380.0,1624.0,326680.0,360000.0,122,1.0,1.0,8.0,3.0,2.0,3.0,3.0,1.0,1.0,3.0,0.0,1.0,1.0,2.0,2.0,1
10,2.21536333765803,17158,81500.0,3042.0,650320.0,385000.0,82,2.0,1.0,Other,Other,4.0,1.0,3.0,1.0,0.0,3.0,0.0,Other,2.0,2.0,2.0,3
10,2.36989287722594,217800,163350.0,2865.0,428030.0,600000.0,51,1.0,1.0,8.0,5.0,2.0,1.0,3.0,1.0,1.0,3.0,1.0,Other,1.0,1.0,2.0,3
10,2.21639981689476,19100,90720.0,1829.0,424060.0,675000.0,44,1.0,1.0,8.0,5.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,2.0,3
10,2.17890574204801,18285,86850.0,2724.0,465680.0,965000.0,45,1.0,1.0,9.0,5.0,2.0,1.0,3.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,2.0,3
10,2.16292522364585,18745,89030.0,3509.0,562790.0,655000.0,48,1.0,1.0,10.0,6.0,3.0,1.0,3.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,2.0,3
10,2.13798532904084,28625,135960.0,2800.0,434450.0,57000.0,48,1.0,1.0,9.0,5.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,3
10,2.14488390887366,21070,100080.0,2607.0,428190.0,840000.0,53,1.0,1.0,9.0,4.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,4.0,1.0,1.0,1.0,1
10,2.11545814371638,15320,72770.0,2236.0,339200.0,461000.0,45,1.0,1.0,8.0,4.0,2.0,1.0,3.0,1.0,0.0,3.0,1.0,3.0,1.0,1.0,2.0,3
10,2.60779155885675,219978,164980.0,9668.0,2076780.0,2600000.0,21,2.0,3.0,12.0,4.0,Other,3.0,1.0,1.0,1.0,3.0,1.0,Other,2.0,1.0,2.0,3
10,2.69011896110072,212137,159100.0,10557.0,1860140.0,2250000.0,15,2.0,4.0,Other,5.0,Other,1.0,1.0,1.0,1.0,3.0,2.0,Other,2.0,1.0,2.0,3
10,2.64914591143735,219107,164330.0,3807.0,834250.0,975000.0,66,3.0,1.0,10.0,4.0,3.0,2.0,3.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,2.0,3
10,3.06975448668514,217800,163350.0,3894.0,623040.0,606250.0,53,2.0,4.0,9.0,5.0,2.0,3.0,1.0,1.0,1.0,3.0,2.0,4.0,2.0,1.0,2.0,3
10,3.05727828497047,217800,163350.0,3000.0,505950.0,807250.0,52,1.0,1.0,9.0,5.0,2.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,2.0,1
10,3.3429815351225,219011,164250.0,3900.0,500750.0,525000.0,44,1.0,1.0,10.0,5.0,2.0,3.0,3.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,3
10,3.31943675151699,333670,250250.0,3206.0,669740.0,385000.0,40,1.0,1.0,10.0,5.0,2.0,1.0,3.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,2.0,3
10,2.86130932789605,184520,138390.0,8757.0,1556200.0,1400000.0,19,2.0,3.0,9.0,4.0,4.0,1.0,1.0,1.0,1.0,3.0,2.0,Other,2.0,1.0,1.0,3
10,2.2858708820511,219107,164330.0,7532.0,1504460.0,1525000.0,13,2.0,5.0,Other,6.0,Other,1.0,1.0,1.0,1.0,3.0,1.0,Other,2.0,1.0,2.0,3
10,2.00401086492304,232610,174450.0,3809.0,673780.0,627500.0,63,3.0,1.0,9.0,4.0,2.0,3.0,3.0,1.0,1.0,2.0,1.0,Other,1.0,1.0,2.0,3
10,2.21846072402263,192971,144720.0,5930.0,1202870.0,1900000.0,32,2.0,4.0,9.0,4.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,Other,2.0,1.0,2.0,3
10,1.93326847785682,20355,55970.0,1480.0,242390.0,247000.0,71,1.0,6.0,6.0,3.0,1.0,3.0,3.0,1.0,0.0,1.0,0.0,3.0,1.0,2.0,2.0,3
10,1.84231644938048,6333,17410.0,2846.0,481590.0,530000.0,4,1.0,1.0,8.0,4.0,3.0,3.0,3.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,3
10,1.74984505306566,7920,53460.0,1615.0,287310.0,427000.0,25,1.0,4.0,5.0,2.0,2.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,2.0,3
10,1.7531750663469,7920,53460.0,1529.0,273670.0,412000.0,30,1.0,4.0,4.0,2.0,2.0,3.0,3.0,1.0,1.0,3.0,0.0,3.0,1.0,1.0,2.0,3
10,1.77397361691062,6382,43070.0,1615.0,287470.0,455000.0,31,1.0,4.0,5.0,2.0,2.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,2.0,3
