,Longitude,Latitude,SalePrice,total_tax,annual_insurance,annual_maintenance,LocationFactor
23098,-87.6034385293911,41.7449330767132,275000.0,2887.8054477537657,1469.2394530942101,6875.293447753766,0.293447753765753
23099,-87.5972409485891,41.745229237729,50000.0,2641.8921221008945,267.1344460171291,1250.2961221008945,0.29612210089453
23100,-87.5957137647172,41.7451220739178,85000.0,1575.2905049559124,454.1285582291195,2125.2965049559125,0.296504955912577
23101,-87.5945880778114,41.7502404158488,46806.0,1790.8957879724308,250.06989760555493,1170.495787972431,0.345787972430723
23102,-87.5926629607259,41.7498486126361,120000.0,1886.1163326751835,641.1226704411099,3000.3463326751835,0.346332675183471
23103,-87.5921479562005,41.7498078276931,182500.0,2186.4052085462185,975.0407279625213,4562.847208546218,0.347208546218506
23104,-87.5902728481383,41.7507458652293,40000.0,1737.9199960030971,213.7075568137033,1000.361996003097,0.361996003097062
23105,-87.5886415402002,41.7503533371931,75000.0,1831.8991501204475,400.70166902569366,1875.3631501204475,0.363150120447492
23106,-87.5938472879297,41.7485225093909,80000.0,1674.4088216989996,427.4151136274066,2000.3308216989997,0.330821698999575
23107,-87.5926352409536,41.748646152297,250000.0,1951.5165756780643,1335.6722300856457,6250.3345756780645,0.334575678064245
23108,-87.592134556509,41.7491453655609,130000.0,2023.6966618493825,694.5495596445357,3250.3406618493823,0.340661849382407
23109,-87.587958918549,41.7495125791697,96500.0,1691.960569547458,515.5694808130592,2412.8565695474576,0.35656954745783
23110,-87.5879467495942,41.7490019554312,142000.0,1670.703221387086,758.6618266886467,3550.351221387086,0.35122138708606
23111,-87.5874734351384,41.7492711609356,239000.0,1702.3096688381522,1276.9026519618772,5975.355668838152,0.355668838152318
23112,-87.5949889154214,41.7460646181726,270000.0,2398.8839021752333,1442.5260084924973,6750.305902175233,0.30590217523323
23113,-87.5944960906184,41.7464549125066,242000.0,2030.29020025428,1292.9307187229049,6050.31020025428,0.310200254280119
